Michael Jackson	Black or White
Michael Jackson	Billie Jean
Michael Jackson	Beat It
Michael Jackson	Thriller
Michael Jackson	Bad
Michael Jackson	Smooth Criminal
The Outfield	Your Love
Bill Withers	Ain't no sunshine
a-ha	Take on Me
Kenny Loggins	Footloose
Bee Gees	Stayin' Alive
Rocwell	Somebody's watching Me
James Brown	I feel good
Village People	Y.M.C.A
Ben E. King	Stand By Me
Bobby McFerrin	Don't worry be happy
Van Halen	Jump
Gloria Gaynor	I will survive
The Archies	Sugar Sugar
Rick Astley	Never Gonna Give You Up
