Muzyka z filmu	Avengers
Muzyka z filmu	Piraci z Karaibów
Muzyka z filmu	Pogromcy duchów
Muzyka z filmu	Gwiezdne Wojny
Muzyka z filmu	Harry Potter
Muzyka z filmu	Park Jurajski
Muzyka z filmu	Indiana Jones
Muzyka z filmu	Władca Pierścieni
Muzyka z filmu	Ojciec chrzestny
Muzyka z filmu	Desperado
Muzyka z filmu	Szczęki
Muzyka z filmu	Titanic
Muzyka z filmu	Gladiator
Muzyka z filmu	2001: Odyseja Kosmiczna
Muzyka z filmu	Gliniarz z Beverlyhills
Muzyka z filmu	Mission: Impossible
Muzyka z filmu	Rocky
Muzyka z filmu	Dobry, zły i brzydki
Muzyka z filmu	La la land
Muzyka z filmu	Amelia
